site,mm_code,WW,IB1,FB693,FB9301,FB1591,ULT,Si_remaining,SBB,N_TESTED,total_tested,yield_sdhmt%,SBB_sdhmt%,ULT_sdhmt%,IOE_chipping_sdhmt%,Si_remaining_sdhmt%,yield_loss_sdhmt%,WLA_site,test_end_ww,class_total_tested,class_8.0,class_10.0,class_15.0,class_53.0,class_97.0,class_98.0,class_99.0,class_36.0,class_1594.0,class_902.0,class_912.0,class_900.0,class_9.0_excluded,class_WIYL,class_sdhmt_sampling,class_SBB,class_Si_remaining,total_WLA_EYL,total_WLA_EY,total_SBB,total_Si_remainig,total_ULT,total_IOE_chipping
D1V,ARROW LAKE-BASE-H682,202513,7351,14285,1298,0,0,16,33,22990,7407,0.9924395841771297,0.0044552450384771165,0.0,0.0,0.002160118806534359,0.007560415822870259,D1V,202513,,,,,,,,,,,,,,,,,,,,,,,,
D1V,ARROW LAKE-BASE-H682,202515,14914,28704,3449,0,1,20,139,47234,15081,0.9889264637623499,0.009216895431337444,6.630860022544923e-05,0.0,0.0013261720045089848,0.011073536237650061,D1V,202515,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.38476190476190475,0.0030959752321981426,0.0,0.006165436800010119,0.9938345631999899,0.005451072146914598,0.0005102604664967903,2.5513023324839515e-05,0.0
D1V,ARROW LAKE-BASE-H682,202516,1702,3047,253,0,0,3,8,5016,1716,0.9918414918414918,0.004662004662004662,0.0,0.0,0.0017482517482517483,0.00815850815850816,D1V,202516,22372.0,-0.0003185776431329627,0.0003626567195109315,-0.0023765912428443223,5.180810278727593e-05,0.0,0.00041446482229820747,0.0025826761129544894,0.004063071555596508,0.0,0.00026819238333631326,0.0,0.0,0.00015542430836182778,0.005203125118868267,0.13722510280708028,0.006689826744928966,0.00026819238333631326,0.005608677860317152,0.9943913221396828,0.0064115586511252105,0.0004712936818474158,4.469873055605221e-05,0.0
D1V,ARROW LAKE-BASE-H682,202517,4848,9715,645,0,0,8,30,15257,4897,0.9899938738002859,0.00612619971411068,0.0,0.0,0.0016336532570961813,0.010006126199714083,D1V,202517,50958.0,0.0008601798185430193,0.0003276875499211502,0.0024576566244086263,6.144141561021566e-05,2.0480471870071886e-05,-0.00022349759424613875,-0.0011682038088929982,0.002908227005550208,0.0,0.0006083441265355783,0.0,0.0,0.00026624613431093454,0.006118561743610668,0.041818752698300564,0.002927890565121379,0.0006288245984056502,0.00628113484019916,0.9937188651598008,0.0030616398644756748,0.0006708452795875945,5.887201224537855e-05,0.0
D1V,ARROW LAKE-BASE-H682,202519,64,131,14,0,0,0,0,209,64,1.0,0.0,0.0,0.0,0.0,0.0,D1V,202519,40473.0,0.0009781790820165537,0.0003762227238525207,0.0036619011788312015,0.00027589666415851516,0.00010032605969400552,0.00027589666415851516,1.609709166732181e-05,0.003059944820667168,2.508151492350138e-05,0.00155659328441183,0.0,0.0,0.0004514672686230248,0.010752524838080656,0.014898821436513231,0.004430443718203564,0.0016569193441058356,0.01059232489052642,0.9894076751094736,0.004364435328361528,0.0016322331986632981,0.00027178612902428777,2.4707829911298892e-05
D1V,ARROW LAKE-BASE-H682,202526,67,131,11,0,0,0,0,209,67,1.0,0.0,0.0,0.0,0.0,0.0,D1V,202526,41333.0,0.00019330226342796142,0.0004018215912135012,0.00451853967474068,3.34851326011251e-05,0.0001339405304045004,0.0001339405304045004,0.00027788952140335573,0.0027116446652207305,3.34851326011251e-05,0.0013790433793820919,0.0,0.0,-0.0001813405764223979,0.009602266712376049,0.2774780441777756,0.003584658041265549,0.0015129839097865923,0.006937848525352584,0.9930621514746474,0.0025899941389290484,0.0010931640936265646,2.4193743497931438e-05,2.4193743497931438e-05
D1V,ARROW LAKE-BASE-P281,202501,15352,31042,3182,0,1,49,66,49728,15504,0.9901960784313726,0.0042569659442724455,6.449948400412796e-05,0.0,0.0031604747162022706,0.009803921568627416,D1V,202501,112251.0,-0.00020930178474991008,0.0008395514690259615,0.0005375496654130508,5.532618862116803e-06,-1.3419986995115711e-05,-6.439093138960797e-05,0.0006019405968026589,0.002973746171031816,0.0,0.009077870130332915,0.0,0.0,0.0006066500953444231,0.014355728043678307,0.38221485777409553,0.0042059364521105265,0.009064450143337798,0.012615959979201523,0.9873840400207985,0.004225440682199479,0.0068078630151534375,2.807063083575487e-05,0.0
D1V,ARROW LAKE-BASE-P281,202502,36218,72440,8631,0,3,139,629,118104,37033,0.97799260119353,0.016984851348797018,8.100882996246591e-05,0.0,0.003753409121594254,0.022007398806469958,D1V,202502,58499.0,0.00010696277559165811,0.0007677224481210461,0.0002885298292607208,7.900974453515933e-05,0.00010534632604687912,3.9615842811725215e-06,0.0015000125787998303,0.003090697713890047,0.0,0.0028889382724491017,0.0,0.0,0.0003055487337536077,0.009136730006729224,0.3509290757106959,0.005465395516402581,0.002994284598495981,0.01365342191240073,0.9863465780875993,0.009507907504354946,0.003260683465736181,7.971128173643074e-05,0.0
D1V,ARROW LAKE-BASE-P281,202503,11127,22354,2836,0,1,38,42,36408,11218,0.991888037083259,0.0037439828846496702,8.914244963451596e-05,0.0,0.0033874130861116063,0.008111962916740989,D1V,202503,92210.0,-1.8172047359883052e-05,0.0005940740266929655,0.0003837823540209222,5.040407264907004e-05,0.0,7.021868642566754e-05,0.00035839812439390756,0.002356024596391867,3.360271509938003e-05,0.0034920290640928315,0.0,0.0,0.0003661597132628751,0.007652918590570224,0.35452770849148685,0.003290324700118857,0.0034920290640928315,0.007815662523623564,0.9921843374763765,0.003451159096718974,0.0034549398011475517,6.413790067239954e-05,2.168962151610454e-05
D1V,ARROW LAKE-BASE-P281,202504,13099,24677,2744,0,0,36,51,40626,13205,0.9919727375993942,0.0038621734191594094,0.0,0.0,0.0027262400605831123,0.008027262400605806,D1V,202504,63717.0,-0.0004914970136597526,0.0005695550710554115,0.0001793881437840211,0.0,0.0,0.00014396738651314495,1.0824814280859852e-05,0.0025625467858209827,2.3693875133278048e-05,0.0032801293218450334,0.0,0.0,0.0001283921220905118,0.0063833066317302125,0.3376179041700017,0.002651429657497501,0.0032801293218450334,0.006938335532966174,0.9930616644670338,0.0030601984287966988,0.003093126390315513,0.0,1.5694398669114993e-05
